"pedigree","parent1","parent2","yield","twt","prot","ht"
"MN11015/MN11051","MN11015","MN11051",85.21460038,63.332431532858,14.3603709218178,82.2789688051024
"MN11015/MN11059","MN11015","MN11059",89.38373191,62.982431532858,14.0103709218178,81.1289688051024
"MN11015/MN11061","MN11015","MN11061",86.64238515,63.582431532858,14.8103709218178,79.7789688051024
"MN11015/MN11090","MN11015","MN11090",86.07127124,62.732431532858,14.2603709218178,80.7789688051024
"MN11015/MN11095","MN11015","MN11095",88.69839522,62.632431532858,13.7603709218178,77.2789688051024
"MN11015/MN11142","MN11015","MN11142",88.355726875,63.482431532858,14.2603709218178,80.4289688051024
"MN11015/MN11148","MN11015","MN11148",85.27171177,62.582431532858,14.2103709218178,75.2789688051024
"MN11015/MN11169","MN11015","MN11169",83.387035875,63.682431532858,13.8603709218178,81.6289688051024
"MN11015/MN11202","MN11015","MN11202",88.155837005,63.482431532858,14.5103709218178,78.9289688051024
"MN11015/MN11210","MN11015","MN11210",87.156387665,62.132431532858,14.1103709218178,77.9289688051024
"MN11015/MN11243","MN11015","MN11243",85.52871303,62.282431532858,14.4603709218178,78.9289688051024
"MN11015/MN11268","MN11015","MN11268",90.354625555,63.132431532858,13.7603709218178,80.6289688051024
"MN11015/MN11297","MN11015","MN11297",84.443596605,62.832431532858,13.9603709218178,78.1289688051024
"MN11015/MN11317","MN11015","MN11317",89.92629012,62.632431532858,14.1103709218178,78.1289688051024
"MN11015/MN11330","MN11015","MN11330",87.841724355,62.732431532858,14.4103709218178,78.7789688051024
"MN11015/MN11395","MN11015","MN11395",84.84337634,61.982431532858,14.4603709218178,79.4289688051024
"MN11015/MN11397","MN11015","MN11397",86.58527376,62.732431532858,14.7603709218178,79.7789688051024
"MN11015/MN11415","MN11015","MN11415",83.64403713,62.932431532858,13.9603709218178,80.7789688051024
"MN11015/MN11433","MN11015","MN11433",75.56277533,62.082431532858,14.6103709218178,78.6289688051024
"MN11015/MN11484","MN11015","MN11484",84.84337634,61.882431532858,14.5103709218178,80.1289688051024
"MN11015/MN11490","MN11015","MN11490",84.70059786,62.832431532858,14.2103709218178,80.4289688051024
"MN11015/MN11497","MN11015","MN11497",88.95539648,62.632431532858,13.9603709218178,79.1289688051024
"MN11015/MN10036","MN11015","MN10036",84.27226243,62.382431532858,14.4103709218178,79.1289688051024
"MN11015/MN10052","MN11015","MN10052",83.2157017,63.332431532858,14.2103709218178,80.2789688051024
